question,subject
Explain the components of data acquisition system with a suitable block diagram.,Advance Instrumentation
Explain the working principle of a stepper motor and write a program for interfacing a stepper motor with 8051 microcontroller. Explain it with suitable use of stepper motor.,Advance Instrumentation
Which is the best device to plot relation of two variables in same graph? With suitable diagram explain the working principle of the device.,Advance Instrumentation
Strip chart recorder can be used to measure earthquake intensity. Explain how it can perform the measurement and draw its block diagram for explanation.,Advance Instrumentation
"What is Spectroscopy? Explain Nuclear Magnetic Resonance (NMR) spectroscopy with the help of necessary block diagram. Also, mention its advantages and applications.",Advance Instrumentation
"What is Non-Destructive Testing (NDT)? Explain briefly about visual inspection, magnetic particle inspection and eddy current testing methods along with its applications.",Advance Instrumentation
Describe the working mechanism of an ultraviolet ray spectrometer with its internal diagram.,Advance Instrumentation
Explain how the 8051 microcontroller can be used for bit addressability.,Advance Instrumentation
A newly established industry recruits you as a consultant and requests you to design a microprocessor based automatic system to control the different machines connected to it (Use 8255 and 8085 chips). Explain your design clearly with necessary circuits.,Advance Instrumentation
Explain ADC and DAC characteristics. Find the successive approximation ADC output for a 4-bit converter to a 3.217 V input if the reference is 5 V.,Advance Instrumentation
What is modulation and why is it required? What are different types of modulation technique? Explain with suitable diagram.,Advance Instrumentation
Differentiate between high level language and assembly language.,Advance Instrumentation
"Write short notes on: (Any two) Optical Fiber, Smart Grid, Addressing modes of 8051",Advance Instrumentation
Draw shear force and bending moment diagram of the following beam,Applied Mechanics (Statics)
Analyze the following truss for the forces in each member.,Applied Mechanics (Statics)
Derive for the moment of inertia of a semi circle about its centroidal axes from 1st principle,Applied Mechanics (Statics)
Determine the Centroid for the area bounded by the curves as shown,Applied Mechanics (Statics)
"Referring to the figure shown, determine the least value of P to cause the system to impend rightward. Assume the coefficient of friction between the block and incline surface to be 0.2 and pulley to be frictionless.",Applied Mechanics (Statics)
"The boom OA carries a load P and is supported by two cables as shown. Knowing that the tension in cable AB is 372 N and that the resultant of the load P and of the forces exerted at A by the two cables must be directed along OA, determine the magnitude of the load P",Applied Mechanics (Statics)
"The 60 N force P is applied at point C of the bent bar. If θ = 45°, determine the moment of P about point A. For what value of the angle θ will the moment about point A be maximum? Determine this maximum value (MA) max",Applied Mechanics (Statics)
"Write short notes on: (Any two) Laws of friction, Varignon’s Theorem, Shear Force and Bending Moment, Parallel Axis Theorem",Applied Mechanics (Statics)
"A 450 N load hangs from the corner C of a rigid piece of pipe ABCD which has bent as shown. The pipe is supported by the ball and socket joint A and D, which are fastened, respectively, to the floor and to a vertical wall, and by a cable attached at the midpoint E of the portion BC of the pipe and at a point G on the wall. Determine (a) where G should be located if the tension in the cable is to be minimum, (b) the corresponding minimum value of the tension.",Applied Mechanics
Define the term particles and rigid bodies.,Applied Mechanics
Find the C.G. of the following figure.,Applied Mechanics
Find the tension in the string and reaction as shown in fig. Take 100N circular roller of weight and radius 20 cm hangs by a tie rod AB = 40 cm.,Applied Mechanics
The two block shown starts form rest. The coefficient of friction between horizontal plane & block is 0.4 & the pulley is friction less. Determine the acceleration of each block & tension in its chords,Applied Mechanics
Write down the laws of friction with suitable examples.,Applied Mechanics
A 9 Kg collar slides without friction along a vertical rod as shown. The spring attached to the collar has an unreformed length of 10 cm & a constant from rest in position 1. Determine its velocity after it has moved 15cm to position 2.,Applied Mechanics
